symptoms_text,transcript_text,body_location,prior_medications,language,source,duration_hours,duration_days,severity_label,diagnosis_label
"severe chest pain shortness of breath dizzy","chest pain hard to breathe","chest","none","english","synthetic",2,0,"emergency","cardiac_event"
"high fever and child very sleepy","kid hot and won't wake proper","whole body","paracetamol","english","synthetic",8,0,"urgent","infection"
"small rash on arm itchy two days","itchy arm rash","arm","antihistamine","english","synthetic",48,2,"routine","dermatitis"
"mild cough runny nose drinking water okay","little cough runny nose","throat","none","english","synthetic",24,1,"self-care","common_cold"
"ngayi leg pain little bit after walk","leg pain after walk","leg","none","gurindji","local",12,0,"routine","muscle_strain"
"mi bin get hot body and sore throat","hot body sore throat","throat","panadol","gurindji-kriol","local",36,1,"urgent","viral_infection"
"bad belly pain vomiting all night","belly pain been vomiting","abdomen","none","english","synthetic",10,0,"urgent","gastroenteritis"
"headache but still eating and drinking","head sore but okay","head","ibuprofen","english","synthetic",20,0,"self-care","tension_headache"
"hard to breathe and lips look blue","breathing bad lips blue","chest","salbutamol","english","synthetic",1,0,"emergency","respiratory_distress"
"sore foot blister after long walk","foot blister after walk","foot","none","gurindji-kriol","local",72,3,"routine","blister"
"fever cough body aches for three days","cough fever body ache","whole body","paracetamol","english","synthetic",72,3,"urgent","flu"
"small cut on hand no bleeding now","cut hand no more bleeding","hand","none","gurindji-kriol","local",5,0,"self-care","minor_cut"
